"Samples","Patients","Groups","n_cells","CD8_CD4_ratio","Tcell_Myeloid_ratio","Immune_Tumor_ratio","Lymphoid_Myeloid_ratio","prop_immune","prop_stromal","prop_CD4_T","prop_CD8_T","prop_NK","prop_Monocyte","prop_Macrophage","prop_DC","prop_Fibroblast","prop_Other_stromal_cells","prop_Endothelial_cells","prop_Epithelial_cells","prop_Proliferative_cells","prop_B","prop_Mesothelial_cells","prop_HSC","Tstate_simple_cytotoxic","Tstate_simple_effector_memory","Tstate_simple_exhausted","Tstate_simple_naive","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell","Mstate_simple_macrophage_other","Mstate_simple_monocyte"
"HGSOC1_MT","HGSOC1","Metastatic Tumor",7943,0.795425667090216,1.1461038961039,0.627514600908501,1.35551948051948,0.365101347098074,0.0101976583154979,0.0989550547652021,0.0786856351504469,0.00755382097444291,0,0.103109656301146,0.0232909480045323,0.0127155986403122,0.0159889210625708,0.0101976583154979,0.581896009064585,0.0426790885056024,0.0249276092156616,0,0,0.00637845499645641,0.501771793054571,0.18781006378455,0.0127569099929128,0.29128277817151,0.437043054427295,0.150284321689683,0.412672623883022,0
"HGSOC1_PT","HGSOC1","Primary Tumor",5820,0.447098976109215,0.300639658848614,0.596282754418038,0.391613361762616,0.336082474226804,0.00927835051546392,0.0501718213058419,0.0223367697594502,0.00515463917525773,0,0.168900343642612,0.0151202749140893,0.0520618556701031,0.0269759450171821,0.00927835051546392,0.563745704467354,0.068213058419244,0.0168384879725086,0.00103092783505155,0.000171821305841924,0,0.196682464454976,0.184834123222749,0.0023696682464455,0.616113744075829,0.775960170697013,0.0625889046941678,0.161450924608819,0
"HGSOC2_AS","HGSOC2","Ascites",9204,0.971061093247588,0.27618332081142,4580.5,0.376709241172051,0.995219469795741,0,0.101260321599305,0.0983268144285093,0.0390047805302043,0.00478053020425902,0.549326379834854,0.138744024337245,0.000217296827466319,0,0,0.00010864841373316,0.03335506301608,0.0336810082572794,0.00010864841373316,0.00108648413733159,0.029940119760479,0.772455089820359,0.00272182906913446,0.148067501360915,0.0468154599891127,0.71370604147881,0.191914637811843,0.0877667568379922,0.00661256387135558
"HGSOC2_BC","HGSOC2","PBMC",7972,0.489514066496164,0.862774155305276,7779,1.30586840545347,0.97566482689413,0,0.2451078775715,0.119919719016558,0.0367536377320622,0.405669844455595,0.000752634219769192,0.0165579528349222,0,0,0,0,0.0218263923733066,0.150777722027095,0,0.00263421976919217,0.0642611683848797,0.469072164948454,0,0.418900343642612,0.047766323024055,0.000592943966795138,0.0391343018084791,0.00148235991698784,0.958790394307738
"HGSOC2_LN","HGSOC2","Lymph Node",11718,0.288585416129863,12.6582278481013,11168,27.2759493670886,0.952978323946066,0.021505376344086,0.331114524662912,0.0954941116231439,0.0192865676736644,0.000512032770097286,0.0029868578255675,0.0293565454855777,0,0.00546168288103772,0.021505376344086,0,0.0205666495989077,0.473459634749957,0,0.000256016385048643,0.001000200040008,0.430686137227445,0.002000400080016,0.543908781756351,0.0224044808961792,0.0304568527918782,0.873096446700508,0.0812182741116751,0.0152284263959391
"HGSOC2_PT","HGSOC2","Primary Tumor",8919,0.213903743315508,0.362179487179487,0.124773022049287,0.543269230769231,0.107747505325709,0.00134544231416078,0.0208543558694921,0.00437268752102254,0.00661509137795717,0,0.056396457001906,0.00313936539970849,0.0164816683484696,0.00515752887094966,0.00134544231416078,0.864334566655455,0.0152483462271555,0.00605449041372351,0,0,0,0.08,0.124444444444444,0,0.795555555555556,0.634028892455859,0.0449438202247191,0.321027287319422,0
"HGSOC3_AS","HGSOC3","Ascites",4951,0.82144544166273,6.00467289719626,489.5,6.62616822429907,0.98848717430822,0,0.427388406382549,0.351040193900222,0.0444354675823066,0.00848313472025853,0.0555443344778833,0.0644314279943446,0,0,0,0.00181781458291254,0.0064633407392446,0.0361543122601495,0.00201979398101394,0.00222177337911533,0.228593668915413,0.661909704203425,0.00155682407887909,0.0555267254800208,0.0524130773222626,0.118564742589704,0.497659906396256,0.318252730109204,0.0655226209048362
"HGSOC3_BC","HGSOC3","PBMC",5689,0.516483516483517,0.919289152165864,1414.25,1.09477971121807,0.994199332044296,0,0.287748286166286,0.14853225522939,0.0147653366145192,0.461240991386887,0.00105466690103709,0.012304447178766,0,0,0,0.000527333450518545,0.00457022323782739,0.0685533485674108,0,0.000703111267358059,0.298952457695407,0.391216760676873,0,0.288074133763094,0.0217566478646253,0.00037037037037037,0.0259259259259259,0.00185185185185185,0.971851851851852
"HGSOC3_LN","HGSOC3","Lymph Node",6611,0.195036349962397,50.1684210526316,6425,66.6421052631579,0.97171381031614,0.00680683708969899,0.603237029193768,0.117531387082136,0.020420511269097,0.000453789139313266,0.00378157616094388,0.00983209801845409,0.00030252609287551,0.013008621993647,0.00680683708969899,0,0.00756315232188776,0.21630615640599,0,0.000756315232188776,0.00545645330535152,0.747743966421826,0.00209863588667366,0.0919202518363064,0.152780692549843,0.117021276595745,0.691489361702128,0.159574468085106,0.0319148936170213
"HGSOC3_MT","HGSOC3","Metastatic Tumor",5215,3.17525773195876,0.710356933879462,2.33972392638037,0.785839672322996,0.584851390220518,0.0187919463087248,0.0556088207094919,0.176989453499521,0.0134228187919463,0,0.262128475551294,0.0099712368168744,0.0807286673058485,0.0331735378715244,0.0187919463087248,0.249856184084372,0.0862895493767977,0.011313518696069,0.00172579098753595,0,0.0115416323165705,0.624896949711459,0.142621599340478,0,0.220939818631492,0.899882903981265,0.0304449648711944,0.069672131147541,0
"HGSOC3_PT","HGSOC3","Primary Tumor",5592,3.3125,0.227548209366391,2.38958333333333,0.264462809917355,0.410050071530758,0.0278969957081545,0.0169885550786838,0.0566881258941345,0.00858369098712446,0,0.253934191702432,0.00482832618025751,0.209406294706724,0.0702789699570815,0.0278969957081545,0.171494992846924,0.118919885550787,0.00339771101573677,0.05758226037196,0,0.00485436893203883,0.577669902912621,0.194174757281553,0,0.223300970873786,0.845093715545755,0.0148842337375965,0.140022050716648,0
"HGSOC4_BC","HGSOC4","PBMC",2892,0.244809688581315,1.88961892247043,2874,2.77792378449409,0.993430152143845,0,0.399377593360996,0.0975103734439834,0.130359612724758,0.256569847856155,0.000345781466113416,0.00587828492392808,0,0,0,0,0.00587828492392808,0.103388658367911,0,0.000691562932226833,0.128740431454419,0.306889352818372,0,0.498956158663883,0.0654140570633264,0,0.0223684210526316,0.00131578947368421,0.976315789473684
"HGSOC4_LN","HGSOC4","Lymph Node",4245,0.132967032967033,61.84,467.333333333333,83.14,0.99057714958775,0.00306242638398115,0.642873969375736,0.0852767962308598,0.0202591283863369,0.000235571260306243,0,0.0110718492343934,0.000235571260306243,0.00212014134275618,0.00306242638398115,0.00188457008244994,0.00188457008244994,0.230624263839812,0,0.000471142520612485,0.00129407958589453,0.727919767065675,0.000970559689420899,0.151083791653187,0.118731802005823,0.0204081632653061,0.959183673469388,0,0.0204081632653061
"HGSOC4_MT","HGSOC4","Metastatic Tumor",2905,2.77215189873418,0.730061349693252,2.79052823315118,0.880981595092025,0.527022375215146,0.0185886402753873,0.0540447504302926,0.150430292598967,0.0351118760757315,0.000344234079173838,0.175903614457831,0.0306368330464716,0.220998278829604,0.014802065404475,0.0185886402753873,0.188640275387263,0.101893287435456,0.0072289156626506,0.00137693631669535,0,0.00841750841750842,0.695286195286195,0.0387205387205387,0,0.257575757575758,0.84029484029484,0.109336609336609,0.0491400491400491,0.00122850122850123
"HGSOC4_PT","HGSOC4","Primary Tumor",5304,2.01923076923077,5.54416961130742,0.704992967651195,6.08833922261484,0.377828054298643,0.0290346907993967,0.0978506787330317,0.197775263951735,0.0220588235294118,0,0.0348793363499246,0.00754147812971342,0.0156485671191554,0.0337481146304676,0.0290346907993967,0.536010558069382,0.0184766214177979,0.00697586726998492,0,0,0.00573979591836735,0.65625,0.0669642857142857,0.0038265306122449,0.267219387755102,0.819148936170213,0.141843971631206,0.0390070921985816,0
