"Samples","Patients","Groups","prop_CD8_T","prop_CD4_T","prop_Epithelial_cells","prop_Fibroblast","prop_NK","prop_B","prop_Endothelial_cells","CD8_CD4_ratio","Immune_Tumor_ratio","Tcell_Myeloid_ratio","Tstate_simple_exhausted","Tstate_simple_cytotoxic","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell"
"HGSOC1_MT","HGSOC1","Metastatic Tumor",0.0786856351504469,0.0989550547652021,0.581896009064585,0.0127155986403122,0.00755382097444291,0.0249276092156616,0.0101976583154979,0.795425667090216,0.627514600908501,1.1461038961039,0.18781006378455,0.00637845499645641,0.29128277817151,0.437043054427295,0.150284321689683
"HGSOC1_PT","HGSOC1","Primary Tumor",0.0223367697594502,0.0501718213058419,0.563745704467354,0.0520618556701031,0.00515463917525773,0.0168384879725086,0.00927835051546392,0.447098976109215,0.596282754418038,0.300639658848614,0.184834123222749,0,0.616113744075829,0.775960170697013,0.0625889046941678
"HGSOC2_AS","HGSOC2","Ascites",0.0983268144285093,0.101260321599305,0.00010864841373316,0.000217296827466319,0.0390047805302043,0.0336810082572794,0,0.971061093247588,4580.5,0.27618332081142,0.00272182906913446,0.029940119760479,0.0468154599891127,0.71370604147881,0.191914637811843
"HGSOC2_BC","HGSOC2","PBMC",0.119919719016558,0.2451078775715,0,0,0.0367536377320622,0.150777722027095,0,0.489514066496164,7779,0.862774155305276,0,0.0642611683848797,0.047766323024055,0.000592943966795138,0.0391343018084791
"HGSOC2_LN","HGSOC2","Lymph Node",0.0954941116231439,0.331114524662912,0,0,0.0192865676736644,0.473459634749957,0.021505376344086,0.288585416129863,11168,12.6582278481013,0.002000400080016,0.001000200040008,0.0224044808961792,0.0304568527918782,0.873096446700508
"HGSOC2_PT","HGSOC2","Primary Tumor",0.00437268752102254,0.0208543558694921,0.864334566655455,0.0164816683484696,0.00661509137795717,0.00605449041372351,0.00134544231416078,0.213903743315508,0.124773022049287,0.362179487179487,0.124444444444444,0,0.795555555555556,0.634028892455859,0.0449438202247191
"HGSOC3_AS","HGSOC3","Ascites",0.351040193900222,0.427388406382549,0.00181781458291254,0,0.0444354675823066,0.0361543122601495,0,0.82144544166273,489.5,6.00467289719626,0.00155682407887909,0.228593668915413,0.0524130773222626,0.118564742589704,0.497659906396256
"HGSOC3_BC","HGSOC3","PBMC",0.14853225522939,0.287748286166286,0.000527333450518545,0,0.0147653366145192,0.0685533485674108,0,0.516483516483517,1414.25,0.919289152165864,0,0.298952457695407,0.0217566478646253,0.00037037037037037,0.0259259259259259
"HGSOC3_LN","HGSOC3","Lymph Node",0.117531387082136,0.603237029193768,0,0.00030252609287551,0.020420511269097,0.21630615640599,0.00680683708969899,0.195036349962397,6425,50.1684210526316,0.00209863588667366,0.00545645330535152,0.152780692549843,0.117021276595745,0.691489361702128
"HGSOC3_MT","HGSOC3","Metastatic Tumor",0.176989453499521,0.0556088207094919,0.249856184084372,0.0807286673058485,0.0134228187919463,0.011313518696069,0.0187919463087248,3.17525773195876,2.33972392638037,0.710356933879462,0.142621599340478,0.0115416323165705,0.220939818631492,0.899882903981265,0.0304449648711944
"HGSOC3_PT","HGSOC3","Primary Tumor",0.0566881258941345,0.0169885550786838,0.171494992846924,0.209406294706724,0.00858369098712446,0.00339771101573677,0.0278969957081545,3.3125,2.38958333333333,0.227548209366391,0.194174757281553,0.00485436893203883,0.223300970873786,0.845093715545755,0.0148842337375965
"HGSOC4_BC","HGSOC4","PBMC",0.0975103734439834,0.399377593360996,0,0,0.130359612724758,0.103388658367911,0,0.244809688581315,2874,1.88961892247043,0,0.128740431454419,0.0654140570633264,0,0.0223684210526316
